ID	Resource name
247	midnight:runebush_grove
85	biomesoplenty:snowy_coniferous_forest
201	tfc:deep_ocean
92	biomesoplenty:wetland
118	mist:up_desert
204	defiledlands:desert_defiled
88	biomesoplenty:temperate_rainforest
127	minecraft:void
288	theabyss:bossuselessbiome
253	advancedrocketry:space
65	biomesoplenty:lush_swamp
269	thebetweenlands:marsh_0
221	iceandfire:glacier
17	minecraft:desert_hills
16	minecraft:beaches
202	tfc:lake
270	thebetweenlands:marsh_1
210	defiledlands:ice_plains_defiled
172	twilightforest:twilight_highlands
22	minecraft:jungle_hills
11	minecraft:frozen_river
260	advancedrocketry:volcanic
267	thebetweenlands:raised_isles
141	mist:border_plains
131	minecraft:mutated_extreme_hills
290	theabyss:exombiome
148	mist:down
138	mist:up_cold_lowland
24	minecraft:deep_ocean
153	mist:down_center
216	erebus:ulterior_outback
164	minecraft:mutated_savanna_rock
139	mist:up_marsh
115	mist:up_forest
125	mist:up_swampy_forest
283	theabyss:abyssdeathlandred
7	minecraft:river
160	minecraft:mutated_redwood_taiga
26	minecraft:cold_beach
150	mist:down_forest
274	theabyss:theabyssbiome
239	midnight:deceitful_bog
102	biomesoplenty:coral_reef
104	biomesoplenty:origin_island
232	tardis:farmlands
132	minecraft:mutated_forest
97	biomesoplenty:redwood_forest_edge
211	integrateddynamics:biome_meneglin
237	midnight:vigilant_forest
278	theabyss:theabyssbiomedim7
250	advancedrocketry:moon
9	minecraft:sky
111	biomesoplenty:undergarden
96	biomesoplenty:mountain_foothills
67	biomesoplenty:maple_woods
163	minecraft:mutated_savanna
161	minecraft:mutated_redwood_taiga_hills
190	tfc:river
68	biomesoplenty:marsh
28	minecraft:birch_forest_hills
130	minecraft:mutated_desert
235	thaumicaugmentation:tainted_lands
37	minecraft:mesa
72	biomesoplenty:mystic_grove
60	biomesoplenty:grove
246	midnight:phantasmal_valley
21	minecraft:jungle
168	thaumcraft:eldritch
227	yurtmod:tent
244	midnight:night_plains
126	mist:up_jungle
143	mist:border_cold
228	tardis:telos
234	thaumicaugmentation:emptiness
81	biomesoplenty:sacred_springs
212	erebus:underground_jungle
248	midnight:hilly_vigilant_forest
40	biomesoplenty:gravel_beach
90	biomesoplenty:tundra
272	thebetweenlands:sludge_plains_clearing
5	minecraft:taiga
286	theabyss:aybssmountain
23	minecraft:jungle_edge
35	minecraft:savanna
224	netherex:fungi_forest
51	biomesoplenty:cold_desert
58	biomesoplenty:flower_field
271	thebetweenlands:swamplands_clearing
45	biomesoplenty:bayou
39	minecraft:mesa_clear_rock
169	twilightforest:twilight_lake
218	erebus:submerged_swamp
47	biomesoplenty:boreal_forest
123	mist:up_swamp
222	nuclearcraft:nuclear_wasteland
273	beneath:the_beneath
281	theabyss:abyssnether
71	biomesoplenty:mountain
175	twilightforest:twilight_stream
170	twilightforest:twilight_forest
91	biomesoplenty:wasteland
62	biomesoplenty:land_of_lakes
8	minecraft:hell
137	mist:up_lowland
282	theabyss:abyssdeathlandblue
66	biomesoplenty:mangrove
25	minecraft:stone_beach
146	mist:border_down
116	mist:up_dense_forest
242	midnight:warped_fields
174	twilightforest:twilight_swamp
70	biomesoplenty:moor
214	erebus:subterranean_savannah
38	minecraft:mesa_rock
263	thebetweenlands:patchy_islands
293	theabyss:poisonbiome
119	mist:up_dunes
149	minecraft:mutated_jungle
205	defiledlands:plains_defiled
217	erebus:fungal_forest
171	twilightforest:dense_twilight_forest
156	minecraft:mutated_birch_forest_hills
252	advancedrocketry:hotdryrock
230	tardis:moon
18	minecraft:forest_hills
166	minecraft:mutated_mesa_rock
112	biomesoplenty:visceral_heap
94	biomesoplenty:xeric_shrubland
76	biomesoplenty:overgrown_cliffs
158	minecraft:mutated_taiga_cold
84	biomesoplenty:shrubland
284	theabyss:abyssdessert
185	twilightforest:dark_forest_center
294	theabyss:liromdeltabiome
264	thebetweenlands:swamplands
109	biomesoplenty:fungi_forest
262	aether_legacy:aether_highlands
254	advancedrocketry:stormland
53	biomesoplenty:crag
145	mist:border_jungle
63	biomesoplenty:lavender_fields
200	tfc:high_plains
155	minecraft:mutated_birch_forest
